,0
0,101.0
1,100.0
2,100.0
3,99.0
4,98.0
5,98.0
6,95.0
7,94.0
8,92.0
9,90.0
10,87.0
11,86.0
12,85.0
13,85.0
14,86.0
15,85.0
16,85.0
17,86.0
18,85.0
19,83.0
20,88.0
21,93.0
22,95.0
23,96.0
24,93.0
25,93.0
26,94.0
27,95.0
28,94.0
29,94.0
30,92.0
31,102.0
32,110.0
33,106.0
34,109.0
35,113.0
36,118.0
37,120.0
38,121.0
39,122.0
40,124.0
41,126.0
42,127.0
43,130.0
44,134.0
45,141.0
46,142.0
47,143.0
48,145.0
49,147.0
50,145.0
51,144.0
52,146.0
53,147.0
54,147.0
55,147.0
56,153.0
57,154.0
58,149.0
59,150.0
60,148.0
61,147.0
62,144.0
63,144.0
64,148.0
65,144.0
66,140.0
67,139.0
68,140.0
69,140.0
70,139.75
71,139.5
72,139.25
73,139.0
74,143.0
75,138.0
76,133.0
77,132.0
78,131.0
79,129.0
80,125.0
81,119.0
82,114.0
83,109.0
84,106.0
85,101.0
86,100.0
87,99.0
88,112.0
89,125.0
90,127.0
91,125.0
92,124.0
93,125.0
94,125.0
95,121.0
96,115.0
97,109.0
98,98.0
99,97.0
100,96.0
101,96.0
102,99.0
103,100.0
104,99.0
105,105.0
106,103.0
107,101.0
108,107.0
109,119.0
110,120.0
111,120.0
112,123.0
113,129.0
114,129.0
115,129.0
116,128.0
117,127.0
118,127.0
119,127.0
120,132.0
121,138.0
122,137.0
123,132.0
124,126.0
125,122.0
126,119.0
127,116.0
128,122.0
129,124.0
130,118.0
131,109.0
132,114.0
133,117.0
134,120.0
135,122.0
136,123.0
137,126.0
138,128.0
139,130.0
140,128.0
141,131.0
142,126.0
143,118.0
144,116.0
145,115.0
146,114.0
147,113.0
148,120.0
149,128.0
150,136.0
151,151.0
152,159.0
153,163.0
154,169.0
155,168.0
156,151.0
157,155.0
158,155.0
159,155.0
160,149.0
161,148.0
162,148.0
163,145.0
164,144.0
165,152.0
166,160.0
167,164.0
168,160.0
169,159.0
170,157.0
171,156.0
172,159.0
173,170.0
174,177.0
175,191.0
176,202.0
177,211.0
178,216.0
179,220.0
180,224.0
181,230.0
182,237.0
183,244.0
184,256.0
185,263.0
186,267.0
187,270.0
188,271.0
189,270.0
190,270.0
191,270.0
192,268.0
193,267.0
194,272.0
195,269.0
196,263.0
197,255.0
198,257.0
199,260.0
200,258.0
201,256.0
202,251.0
203,246.0
204,239.0
205,234.0
206,232.0
207,236.0
208,234.0
209,229.0
210,223.0
211,221.0
212,224.0
213,232.0
214,234.0
215,229.0
216,222.0
217,222.0
218,223.0
219,225.0
220,221.0
221,218.0
222,217.0
223,214.0
224,214.0
225,213.0
226,213.0
227,211.0
228,207.0
229,203.0
230,196.0
231,190.0
232,187.0
233,186.0
234,192.0
235,198.0
236,211.0
237,210.0
238,205.0
239,197.0
240,192.0
241,188.0
242,185.0
243,183.0
244,184.0
245,186.0
246,192.0
247,191.0
248,184.0
249,174.0
250,170.0
251,172.0
252,178.0
253,189.0
254,194.0
255,194.0
256,200.0
257,203.0
258,209.0
259,211.0
260,210.0
261,210.0
262,211.0
263,213.0
264,218.0
265,220.0
266,218.0
267,218.0
268,222.0
269,227.0
270,235.0
271,245.0
272,251.0
273,254.0
274,256.0
275,257.0
